port_name,code
no port code (cpx),CPX
no port code (atw),ATW
no port code (nyl),NYL
no port code (jfa),JFA
no port code (sch),SCH
no port code (ygf),YGF
no port code (x44),X44
no port code (w55),W55
no port code (5t6),5T6
no port code (mth),MTH
no port code (phf),PHF
no port code (ryy),RYY
